reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_avg,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
136.000,0.050,0.059,0.069,0.105,0.135,0.155,0.173,0.337,0.473,0.707,0.600,0.619,0.638,0.710,0.769,0.810,0.845,1.174,1.447,1.914,88.379,118.163,152.714,311.382,481.349,773.366,749.315,2644.984,5291.049,12735.509,0.007,0.009,0.011,0.015,0.018,0.018,0.020,0.026,0.028,0.031,0.037,0.041,0.045,0.057,0.066,0.069,0.075,0.109,0.134,0.173
137.000,0.033,0.039,0.046,0.070,0.091,0.107,0.118,0.245,0.360,0.578,0.566,0.578,0.591,0.640,0.682,0.715,0.736,0.990,1.221,1.655,91.881,122.722,158.676,323.527,500.156,803.503,778.528,2747.662,5495.831,13228.896,0.002,0.002,0.003,0.004,0.005,0.005,0.005,0.007,0.007,0.008,0.061,0.068,0.074,0.094,0.108,0.113,0.124,0.175,0.206,0.247
138.000,0.011,0.013,0.015,0.024,0.031,0.037,0.040,0.086,0.131,0.221,0.522,0.526,0.531,0.547,0.562,0.574,0.581,0.673,0.762,0.941,4.954,6.789,8.774,17.905,27.672,44.471,43.085,152.070,304.558,735.931,0.022,0.027,0.033,0.051,0.059,0.061,0.069,0.091,0.100,0.113,0.010,0.012,0.013,0.017,0.020,0.021,0.023,0.035,0.043,0.054
139.000,0.013,0.016,0.019,0.029,0.037,0.045,0.049,0.106,0.161,0.278,0.527,0.532,0.537,0.558,0.575,0.590,0.598,0.711,0.822,1.055,6.724,9.148,11.833,24.107,37.267,59.932,58.041,204.813,409.864,991.873,0.022,0.026,0.031,0.046,0.054,0.055,0.063,0.082,0.090,0.101,0.011,0.013,0.014,0.018,0.022,0.023,0.025,0.037,0.045,0.053
14.000,0.024,0.029,0.034,0.054,0.071,0.087,0.094,0.214,0.336,0.591,0.548,0.559,0.569,0.608,0.642,0.674,0.689,0.928,1.172,1.683,18.498,25.462,32.888,67.114,103.649,166.674,161.502,570.692,1140.143,2767.986,0.023,0.025,0.027,0.035,0.039,0.040,0.045,0.056,0.061,0.068,0.017,0.019,0.021,0.026,0.030,0.030,0.033,0.043,0.047,0.050
140.000,0.017,0.021,0.024,0.038,0.049,0.060,0.065,0.144,0.223,0.391,0.534,0.541,0.548,0.575,0.599,0.620,0.630,0.788,0.945,1.282,9.948,13.487,17.413,35.509,54.906,88.230,85.449,301.286,601.989,1457.184,0.023,0.027,0.031,0.043,0.049,0.050,0.057,0.073,0.080,0.089,0.013,0.015,0.016,0.020,0.024,0.024,0.027,0.038,0.044,0.051
141.000,0.034,0.041,0.048,0.073,0.095,0.111,0.123,0.251,0.366,0.593,0.568,0.582,0.596,0.646,0.689,0.722,0.745,1.002,1.231,1.686,31.752,43.120,55.706,113.668,175.553,282.294,273.579,965.835,1931.930,4654.278,0.014,0.016,0.020,0.028,0.032,0.033,0.037,0.047,0.051,0.057,0.020,0.023,0.025,0.032,0.036,0.038,0.042,0.060,0.071,0.084
142.000,0.036,0.043,0.050,0.076,0.098,0.115,0.126,0.258,0.382,0.662,0.571,0.586,0.600,0.652,0.696,0.730,0.752,1.016,1.264,1.824,33.098,45.060,58.285,118.769,183.585,295.185,285.962,1008.857,2015.611,4844.264,0.015,0.017,0.019,0.028,0.032,0.033,0.037,0.047,0.052,0.058,0.020,0.022,0.025,0.032,0.036,0.038,0.042,0.060,0.070,0.075
143.000,0.034,0.041,0.048,0.074,0.096,0.115,0.125,0.270,0.426,0.820,0.568,0.582,0.596,0.647,0.691,0.730,0.750,1.040,1.352,2.140,33.152,45.058,58.278,118.831,183.635,295.194,285.988,1007.587,2015.886,4797.299,0.018,0.020,0.021,0.027,0.031,0.032,0.035,0.045,0.049,0.055,0.021,0.024,0.026,0.033,0.038,0.038,0.043,0.056,0.059,0.066
144.000,0.039,0.048,0.056,0.087,0.115,0.144,0.154,0.363,0.596,1.103,0.579,0.595,0.611,0.674,0.731,0.788,0.808,1.226,1.692,2.706,38.578,52.293,67.610,137.753,212.944,342.426,331.948,1170.246,2338.551,5572.224,0.014,0.020,0.020,0.023,0.025,0.026,0.028,0.034,0.037,0.041,0.021,0.023,0.025,0.031,0.035,0.035,0.038,0.043,0.044,0.061
